category,subcategory,question,content
faq,promocoes,Promoções encerradas,2021Boomerang - Primeira viagemA Buser te leva para ver o GaloAniversário da BuserDia do amigoTudo pelo Galão da MassaConvide 5 amigos e ganhe uma viagem grátisBuser te leva para ver o Galo 2Nação Azul no estádioPromoção #ArenaBuserArena Buser na FaixaPara assistir o jogo do Galo eu já...20% de desconto na primeira viagem: ganhe desconto na sua primeira viagem de Buser.2020Boomerang - Primeira viagemDia dos PaisDia do ClientePromoção relâmpagoSaudade de você2019Pink November 2019Buseiro Smart 2019Desconto Sócio-Torcedor FlamengoPrimeira Viagem a R$10Promoção DegustaçãoBoomerang Mês dos PaisBlack Friday 2019
faq,informacoes-sobre-minha-viagem,Política de bagagens,"Viagens realizadas por parceiros da Buser e embarque apenas com documentoBagagens de mão: são permitidas dentro dos ônibus apenas bolsas e mochilas de notebook ou passeio, sem rodinhas. Qualquer item que esteja fora do limite permitido em nossas políticas estará sujeito à disponibilidade do bagageiro e pode ser impedido pelo motorista de seguir viagem.IMPORTANTE: as bagagens de mão não são identificadas com etiqueta, por esse motivo é importante ficar de olho nos seus pertences ao longo de toda a viagem, principalmente durante as paradas. Lembrando que: a Buser e a empresa parceira não se responsabilizam por perdas ou danos dos itens transportados dentro dos ônibus.Malas do bagageiro: as malas do bagageiro são etiquetadas pelos motoristas e você receberá um ticket de identificação para cada uma delas. Ao final da viagem, basta entregar ao motorista para retirar a sua bagagem. Para transporte no bagageiro, cada viajante pode levar: 1 mala grande ou 2 malas médias ou 3 malas pequenas. Confira abaixo os tamanhos permitidos (altura x largura x profundidade):Grande: 70.5 cm x 45.5 cm x 26 cmMédia: 60.5 cm x 40 cm x 23.5 cmPequena: 49 cm x 34.5 cm x 19 cmAtenção para os itens que for levar:Itens esportivos e instrumentos musicaisItens esportivos (bicicletas, prancha de surf, patinete, patins...)  e instrumentos musicais (violão, guitarra, baixo, flauta…) só serão aceitos embalados em caixa, plástico bolha ou em uma bolsa própria para transporte (case).MercadoriasItens transportados em caixas devem possuir sua referida Nota Fiscal. Lembramos que todos os passageiros são responsáveis pela obrigatoriedade de notas fiscais de mercadorias transportadas em nosso bagageiro.Objetos de valorA Buser e a empresa parceira não se responsabilizam por danos ou perdas de seus itens.Por isso, não é permitido transportar itens sensíveis ou de alto valor no bagageiro; lembre-se de levar com você dentro do ônibus e ter atenção redobrada com qualquer objeto de valor, documentos, dinheiro, joias, bem como artigos frágeis e eletrônicos.Itens considerados de valor: artigos valiosos, arte, joias, dinheiro, documentos pessoais, documentos de valor, documentação e históricos clínicos, óculos, chaves, canetas tinteiro ou esferográficas de marca, antiguidades, medicamentos, relógios, bebidas alcoólicas de valor alto, bolsas, carteiras, artigos eletrônicos, computadores, eletrodomésticos, máquinas fotográficas, equipamento médico, celulares, dispositivos de armazenamento de dados: MP3, Memórias USB, HDs externos, tablets digitais, consoles de videogames, agendas digitais e qualquer outro equipamento eletrônico, incluindo software ou componentes, televisões, rádios ou elementos semelhantes. drones, qualquer outro artigo ou propriedade de valor semelhante).Itens proibidosFrisamos que não é permitido transportar consigo ou nas bagagens despachadas substâncias químicas, itens considerados ilegais, perigosos ou que provoquem ruído, odor ou incômodo a terceiros.Em casos de dano, extravio ou violação da bagagem transportada no bagageiro do veículo, orientamos que o viajante procure o motorista imediatamente, de preferência ainda no momento do desembarque e preencha um formulário de dano ou extravio da bagagem, para as devidas providências.Viagens realizadas com empresas de rodoviária e embarque com passagemNesse caso, a política de bagagens não segue a mesma da Buser. Cada passageiro deverá seguir as políticas de bagagem da empresa rodoviária em questão; acesse o site da empresa antes da viagem e consulte com antecedência. Lembrando que nas viagens com empresas de rodoviária, a Buser também não se responsabiliza por danos ou perda de itens.Excesso de bagagemBagagens que excederem a quantidade permitida estão sujeitas ao espaço do bagageiro, não podendo ser transportadas caso o bagageiro esteja cheio.Bagagens que excederem o peso ou dimensões máximas estipuladas, estão sujeitos a cobrança por excesso de bagagem. Os preços podem variar de acordo com cada empresa de transportes.Caso haja espaço no bagageiro para bagagens excedentes, a cobrança será feita de acordo com o tamanho de cada mala:Mala pequena: até 49 cm x 34.5 cm x 19 cm - R$ 20,00Mala média (até 60.5 cm x 40 cm x 23.5 cm) - R$ 30,00Mala grande (até 70.5 cm x 45.5 cm x 26 cm) - R$ 40,00Bagagens fora do padrão - R$ 50,00"
faq,atraso-e-problemas-na-viagem,Seguro Viagem,"Desde Julho de 2017, a Buser oferece alternativas de transporte de baixo custo, sob demanda, em sua plataforma no Brasil. A Buser trabalha para tornar a sua experiência na plataforma confiável e eficiente. A segurança é importante para nós – tanto se você está no assento do ônibus, micro-ônibus, van, ou outras modalidades de transporte, quanto se você está atrás do volante.Além de exigir que as empresas parceiras apresentem todos os documentos necessários para fazer as viagens, tanto dos veículos quanto dos motoristas, a Buser fez uma parceria com a Previlemos Seguros Ltda, para oferecer cobertura de Acidentes Pessoais de Passageiros (“Seguro APP”) para a proteção de usuários e de motoristas parceiros da plataforma.O Seguro APP cobre motoristas e usuários em cada viagem, com as seguintes coberturas, em caso de acidentes:Morte acidental: R$ 60.000,00 (sessenta mil reais);Invalidez permanente total ou parcial por Acidente: até R$ 60.000,00 (sessenta mil reais), dependendo do grau de invalidez;Despesas Médicas Hospitalares e Odontológicas: até R$ 12.000,00 (doze mil reais) de reembolso;Este seguro cobre os motoristas e passageiros em caso de acidentes no interior do veículo, a partir de seu embarque até o momento em que a viagem é concluída. Esta página fornece um resumo informativo de apólices de seguro para referência rápida e não altera, amplia ou estende positiva ou negativamente a cobertura proporcionada por essas apólices. (PROCESSO SUSEP – 15414.901061/2014-13, apólice  Nº:1.687 / 41.105), contratado por BUSER DO BRASIL TECNOLOGIA LTDA, CNPJ:29.365.880/0001-81 .O segurado poderá consultar a situação cadastral de seu corretor de seguros, no site www.susep.gov.br, por meio do número de seu registro na SUSEP, nome completo, CNPJ ou CPF. As condições contratuais/regulamento deste produto protocolizadas pela sociedade/entidade junto à SUSEP poderão ser consultadas no endereço eletrônico www.susep.gov.br, de acordo com o número de processo constante da apólice/certificado, ou pelo atendimento exclusivo ao consumidor da SUSEP: 0800-021-8484 de segunda a sexta das 9:30 às 17:00 horas.A Buser reafirma seu compromisso com a qualidade, confiabilidade, segurança, responsabilidade e satisfação dos seus clientes e parceiros buscando sempre tecnologias e melhorias em seus processos.Para mais informações, entre em contato com a Central de Atendimento Previlemos Ltda aqui."
faq,informacoes-sobre-minha-viagem,Local de embarque e desembarque e itinerário,"A localização e endereço dos pontos de embarque e desembarque podem ser consultados na aba de viagens, basta clicar na reserva desejada e consultar as informações no campo “Confira o itinerário”."
faq,informacoes-sobre-minha-viagem,Coronavírus (COVID-19),"Uso de máscaras nos ônibusNos últimos meses, Estados e municípios têm flexibilizado as regras relativas ao uso de máscaras no transporte coletivo de passageiros. Dessa forma, o uso de máscaras durante a viagem com a Buser não é mais obrigatório, exceto nos locais em que a legislação ainda obriga o uso. Se no seu Estado ou município ainda for obrigatória a utilização, a Buser irá cumprir a orientação do Poder Público e exigir o uso do item de proteção durante o trajeto.Desde o início da pandemia, a Buser tem seguido todas as normas e diretrizes dos órgãos de saúde a respeito dos cuidados e das medidas de prevenção contra o Coronavírus (COVID-19).É importante lembrar que, mesmo com a flexibilização, a Buser tem como prioridade a segurança e saúde dos seus usuários e recomenda que todos continuem se protegendo, mantendo hábitos de higiene e utilizando as máscaras, caso se sintam mais confortáveis e seguros."
faq,pagamento-e-reembolso,Reembolsar viagem cancelada,"Em caso de viagens canceladas pela Buser, você recebe de volta o valor total da sua reserva. O reembolso é feito imediatamente, mas o saque e os prazos para que o valor apareça no seu extrato ou conta bancária dependem da forma de pagamento escolhida. Confira aqui os prazos de acordo com cada uma deles. "
faq,informacoes-sobre-minha-viagem,Documentos para embarque,"Você pode consultar os documentos necessários para embarque na aba de viagens, basta clicar na reserva desejada e acessar as informações.Viagem com parceiro Buser e embarque apenas com documento: as informações sobre os documentos necessários para embarque nesse tipo de viagem, realizada por empresas parceiras da Buser, podem ser visualizadas no campo “Passageiros”.Nesse caso, o embarque é feito apenas com um documento original com foto ou uma cópia autenticada em cartório, em que seja possível identificar o viajante. Confira a lista de documentos aceitosRGCarteira Nacional de Habilitação (CNH ou CNH-e)Carteira de trabalho (CTPS - Documento Físico)Carteiras Funcionais (OAB, CRM, CREA, etc...)Passaporte válidoRegistro Nacional de Estrangeiros (RNE, RNI)e-Título (aceito somente a versão com foto)RG Digital SP (válido em todo território nacional)Certidão de nascimento (apenas para menores de 12 anos)Viagem de revenda de passagens e embarque na rodoviária: as informações sobre os documentos necessários para embarque nesse tipo de viagem, realizada por empresas de rodoviária, podem ser visualizadas nos detalhes da sua reserva.Nesses casos, é necessário retirar o bilhete de embarque com até 30 minutos de antecedência no guichê da empresa indicada e apresentá-lo no momento do embarque ao motorista. Se o guichê estiver fechado, a retirada da passagem será realizada diretamente com o motorista. Além da passagem emitida, você precisará apresentar um desses documentos originais com fotoRGCarteira Nacional de Habilitação (CNH ou CNH-e)Carteira de trabalho (CTPS - Documento Físico)Carteiras Funcionais (OAB, CRM, CREA, etc...)Passaporte válidoRegistro Nacional de Estrangeiros (RNE, RNI)e-Título (aceito somente a versão com foto)RG Digital SP (válido em todo território nacional)Certidão de nascimento (apenas para menores de 12 anos)Importante: os documentos devem estar legíveis.Perda de documentos: Em caso de perda de documentos, você poderá embarcar com um Boletim de Ocorrência físico ou online, que deve estar válido por até 30 dias. O embarque só será permitido com a apresentação do próprio Boletim de Ocorrência, protocolos ou outros documentos não serão aceitos.Viagem com crianças: Clique aqui para consultar os documentos necessários para viajar com crianças.Embarque com Nome Social: Nome Social é a forma como algumas pessoas preferem ser chamadas no dia a dia, ao invés de seu nome registrado em cartório no nascimento, que não reflete a sua identidade de gênero. Para o embarque, no caso de viajantes que possuam o nome social, é necessário apresentar o documento que já possua as informações da nova identidade civil.No caso de passageiros que ainda não possuam o documento atualizado, é preciso consultar com antecedência as regras da empresa de ônibus responsável pela viagem.  Para verificar o nome da empresa, acesse a aba de viagens e a reserva desejada - a informação estará no campo “Dados da viagem”."
faq,informacoes-sobre-minha-viagem,Confirmação de viagem,"Todas as reservas de viagens oferecidas pela Buser estão previamente confirmadas. Apenas as reservas marcadas como “A confirmar” ainda não possuem ônibus disponíveis ou quantidade necessária de pessoas para realizar a viagem.Nesses casos, a confirmação ocorre até 48h antes do embarque. Se não houver confirmação, te avisaremos com antecedência pelos nossos canais de comunicação e você receberá o estorno integral do valor pago em sua ""Carteira"" que ficará disponível para saque por 7 dias. Após esse período, esse valor se transforma em um cupom para uso em reservas na Buser."
faq,informacoes-sobre-minha-viagem,Embarcar ou desembarcar em outro lugar,"EmbarqueO embarque é realizado obrigatoriamente no local indicado em sua reserva, por questões de segurança e do processo de check-in. DesembarqueA decisão de parada para desembarque em outro ponto antes da chegada ao destino final fica à cargo dos motoristas, que possuem a responsabilidade e autonomia para avaliarem se o local atende às regras de segurança e/ou se a parada é pertinente com a rota já prevista. O percurso original não poderá ser alterado, a fim de não atrapalhar a viagem dos demais passageiros. Lembrando que, nesses casos específicos, é necessário que a decisão aconteça antes do início da viagem e que os passageiros estejam apenas com bagagem de mão."
faq,atraso-e-problemas-na-viagem,Achados e perdidos,"Sentimos muito que tenha esquecido ou encontrado um objeto perdido na sua viagem! Lembramos que a Buser e as transportadoras não se responsabilizam por objetos perdidos no ônibus.Orientamos que entre em contato diretamente com a empresa parceira que realizou a sua viagem através do contato em sua reserva:Pelo site ou aplicativo, acesse suas viagens, clique aqui para acessar ;Vá até a sua reserva; Role a página até o ícone “Perdi um item no ônibus”. O número da empresa responsável ficará disponível para solucionar o ocorrido."
faq,atraso-e-problemas-na-viagem,"Problema com ônibus, poltrona ou motorista"," Se durante a viagem você notou algum problema no ônibus, na poltrona ou na conduta do motorista, você pode reportar a situação ao nosso time de experiência do cliente pelo chat ou e-mail. Quando possível, pedimos que envie junto com a mensagem uma foto ou vídeo do problema encontrado. Dessa forma, podemos identificar com detalhes o ocorrido e tomar as medidas necessárias para esclarecer a situação e te ajudar no que for preciso. "
faq,comprar-passagem,Comprar pelo WhatsApp,"Para comprar a sua viagem pelo WhatsApp é muito simples: basta clicar aqui e seguir o passo a passo para atendimento junto aos nossos consultores de venda. O pagamento pode ser realizado por cartão de crédito, PIX ou boleto. É rápido, prático e 100% digital."
faq,informacoes-sobre-minha-viagem,Desembarque rápido,"Algumas viagens para a cidade de São Paulo - SP possuem como destino estações de metrô e pontos de ônibus, locais onde é permitido o desembarque rápido.As viagens que permitem essa prática estão indicadas no momento da compra e nos detalhes da reserva com a mensagem “apenas bagagem de mão”, e funcionam da seguinte forma: o motorista faz uma parada rápida no local indicado, permitindo somente o desembarque de passageiros com bagagens de mão - por questões de segurança, viajantes com malas no bagageiro não poderão descer nesses locais e deverão seguir no ônibus até o ponto de desembarque final."
faq,informacoes-sobre-minha-viagem,Escolha de poltronas,"A marcação de poltronas não está disponível no momento da reserva. A escolha do assento varia de acordo com o tipo de viagem:Viagens com empresas parceiras Buser e embarque apenas com documento: Os assentos são escolhidos por ordem de chegada no momento do embarque. Viagens de revenda de passagens e embarque na rodoviária: Não é possível escolher o assento no momento do embarque, as poltronas são determinadas de forma automática pelo sistema da empresa rodoviária, no momento da retirada da passagem no guichê ou da emissão do bilhete eletrônico."
faq,informacoes-sobre-minha-viagem,Impressão ou retirada de passagens,"Somente será necessário imprimir ou retirar passagens antes do embarque em casos de viagens de revenda de passagens. Você pode consultar as orientações na aba de viagens, basta clicar na reserva desejada e acessar as informações. Quando houver a necessidade de impressão ou retirada, você verá o seguinte alerta: "
faq,alterar-ou-cancelar-minha-viagem,Cancelamento grátis da minha viagem,"Viagem com parceiros Buser: as reservas podem ser canceladas de forma gratuita até 1 hora antes do embarque. Para cancelar, você deve:Acessar a aba de viagens e selecionar a reserva que deseja cancelar;No final da página, no campo “Ajuda”, clicar em “Cancelar minha reserva”;Informar o motivo e fazer o cancelamento da reserva. Após 1 hora antes do horário do embarque não é possível cancelar a reserva, mas você consegue solicitar um cupom para agendar uma nova viagem. Caso você não tenha embarcado, o cupom ficará disponível na aba de viagens após 30 minutos do início do embarque.Importante: Se você pagou a reserva no boleto, ao cancelar a reserva dentro do prazo, você receberá o estorno integral do valor pago em sua ""Carteira"" que ficará disponível para saque por 7 dias. Após esse período, esse valor se transforma em um cupom para uso em reservas na Buser.Viagens de revenda de passagem:  O cancelamento só poderá ser feito até 3 horas antes do embarque para receber o reembolso; após esse período, não será realizado o reembolso. Para cancelar, você deve:Acessar a aba de viagens e selecionar a reserva que deseja cancelar;No final da página, no campo “Ajuda”, clicar em “Cancelar minha reserva”;Informar o motivo e fazer o cancelamento da reserva.Caso você precise cancelar após as 3 horas que antecedem a viagem, é necessário verificar a possibilidade de cancelamento diretamente com a empresa responsável pela viagem. Você pode acessar o contato da empresa nos detalhes da sua reserva, em “Dados da viagem”. Importante: Se você pagou a reserva no boleto, ao cancelar a reserva dentro do prazo, você receberá o estorno integral do valor pago em sua ""Carteira"" que ficará disponível para saque por 30 dias. Após esse período, esse valor se transforma em um cupom para uso em reservas na Buser."
faq,informacoes-sobre-minha-viagem,Viagem com Parceiro Buser X Revenda de Passagem,"A Buser trabalha com dois tipos de modelo de viagem: as viagens realizadas por parceiros, em que o passageiro embarca apenas com documento em algum ponto de embarque da Buser; E as de revenda de passagem com viagens realizadas por empresas de rodoviária.Para identificar qual o modelo da sua viagem e saber quais são as regras específicas de cada uma, acesse a aba de viagens e clique na reserva desejada - a informação estará disponível no campo “Dados da viagem”.No caso de viagens com empresas parceiras, estará indicado como “Empresa parceira Buser”.Se a sua viagem for de revenda de passagem, estará indicado como “Empresa de rodoviária”."
faq,alterar-ou-cancelar-minha-viagem,Trocar dados do passageiro,"Após a compra, não é possível alterar ou corrigir os dados de um passageiro. Nesse caso, a orientação é cancelar a reserva atual e fazer uma nova reserva com as informações atualizadas do viajante.Importante: caso a sua reserva atual seja de alguma promoção ou tenha usado um cupom que não esteja mais válido na data da alteração, o valor da promoção ou do cupom não terá mais validade. "
faq,alterar-ou-cancelar-minha-viagem,Transferir reserva para outra pessoa,"Sua reserva é pessoal e intransferível, por esse motivo não é possível fazer a transferência para outra pessoa. Nesses casos, a orientação é cancelar a sua reserva atual e fazer uma nova reserva no nome da pessoa para quem deseja transferir. O cancelamento é bem simples:Acesse a aba de viagens e selecione a reserva que deseja cancelar;No final da página, no campo “Ajuda”, clique em “Cancelar minha reserva”;Informe o motivo e faça o cancelamento da reserva.Importante: caso a sua reserva atual seja de alguma promoção ou tenha usado um cupom que não esteja mais válido na data da alteração, o valor da promoção ou do cupom não terá mais validade. "
faq,alterar-ou-cancelar-minha-viagem,Adicionar mais passageiros,"Após a compra, não é possível adicionar outros passageiros na mesma reserva. Nesse caso, a orientação é cancelar a reserva atual e fazer uma nova para inserir os outros passageiros que vão viajar com você. Para isso, no momento da nova reserva você deverá clicar em “Adicionar mais passageiros”.Importante: caso a sua reserva atual seja de alguma promoção ou tenha usado um cupom que não esteja mais válido na data da alteração, o valor da promoção ou do cupom não terá mais validade"
faq,conta-e-dados,Editar dados de cadastro,"Para editar os dados de passageiros cadastrados, siga o passo a passo:Entre na sua conta Buser e clique na sua foto de perfil, localizada no canto superior direito da página ou do appClique em “Viajantes”Clique no ícone de lápis, localizado à direita do nome do passageiroDigite os novos dados e clique em “Salvar”"
faq,alterar-ou-cancelar-minha-viagem,Alterar ou remarcar data da viagem,"Você pode alterar a data da sua viagem, até 1 hora antes do embarque, sem pagar nenhuma taxa extra. Se a viagem alterada for mais cara, você paga apenas o valor da diferença; se for mais barata, você recebe de volta a diferença do valor. Alteração de viagem com empresa parceira Buser: as reservas podem ser alteradas até 1 hora antes do embarque. Para alterar, você precisa:Acessar a aba de viagens e selecionar a reserva que deseja alterar;No final da página, no campo “Ajuda”, clicar em “Mudar minha reserva”;Selecionar a opção “Alterar horário e local da viagem”;Selecionar a data e a opção de reserva desejada. Após 1 hora antes do horário do embarque não é possível alterar a reserva, mas você consegue solicitar um cupom e agendar uma nova viagem. Caso você não tenha embarcado, o cupom ficará disponível na aba de viagens após 30 minutos do início do embarque.Alteração de viagem de revenda de passagens: é possível alterar as passagens até 3 horas antes do embarque. Para alterar, você precisa:  Acessar a aba de viagens e selecionar a reserva que deseja alterar;No final da página, no campo “Ajuda”, clicar em “Mudar minha reserva”;Selecionar a opção “Alterar horário e local da viagem”;Selecionar a data e a opção de reserva desejada. Caso você precise alterar a passagem após as 3 horas que antecedem a viagem, será necessário verificar a possibilidade de alteração diretamente com a empresa responsável pela viagem. Você pode acessar o contato da empresa nos detalhes da sua reserva, em “Dados da viagem”.  "
faq,atraso-e-problemas-na-viagem,Perdi minha viagem,"Perdeu a viagem? Não tem problema! Se a sua viagem for com alguma empresa parceira da Buser, você consegue remarcar diretamente pelo app ou site. Se a compra tiver sido feita na modalidade de revenda de passagem, é possível remarcar diretamente no guichê da empresa rodoviária.Viagens com empresas parceiras Buser: você consegue adquirir um cupom de 80% do valor pago na reserva para remarcação pelo app ou site até 30 dias contados a partir da data da viagem que você perdeu. É super fácil:Acesse a aba de viagens e clique na reserva que deseja remarcarClique no botão “Pedir cupom”. Depois é só seguir o processo indicado na tela para remarcaçãoImportante: A remarcação pode ser feita apenas uma vez e a ativação do cupom no mesmo valor da sua reserva fica disponível por 30 dias. Após esse prazo, não será possível remarcar a viagem.Viagens de revenda de passagem: a remarcação deve ser solicitada para a empresa responsável pela viagem, por telefone ou diretamente no guichê da rodoviária. Você pode acessar o contato da empresa nos detalhes da sua reserva, localizados em “Dados da viagem”. "
faq,comprar-passagem,Formas de pagamento,"Cartão de crédito à vista ou parcelado: você pode pagar à vista ou parcelar em até 12x (a quantidade de parcelas permitidas depende do valor de cada viagem). São aceitas as principais bandeiras - Visa, Mastercard, American Express, Elo, Hipercard, Aura, JCB, Diners, Discover, Hiper, Hipercard, Credz, Cabal, SoroCerd e Banescard. Todos os dados do seu cartão são protegidos na compra.PIX: nessa opção, será gerado um QR Code para o pagamento. Você deve pagar diretamente pelo aplicativo ou site do seu banco, fazendo a leitura do QR Code ou utilizando o código gerado. O pagamento deve ser feito dentro do tempo indicado na sua tela - caso contrário, a reserva é cancelada automaticamente. A confirmação da compra ocorre em poucos minutos.Boleto: você pode pagar com boleto pelo internet banking, no caixa eletrônico ou em lotéricas. O pagamento deve ser feito dentro do tempo indicado na sua tela - caso contrário, a reserva é cancelada automaticamente. Feita a compra, a confirmação ocorre em até 2 dias úteis."
